ts,asset_id,component_id,component_type,vendor,model,temp_c,psu_input_power_w,psu_output_power_w,fan_rpm,ssd_wear_pct,ecc_correctable,ecc_uncorrectable,target_dul_days,failed
2025-11-28T10:00:00,server-01,PSU1,psu,Generic,PSU-500W,40,350,330,,0,,0,120,0
2025-11-28T10:05:00,server-01,PSU1,psu,Generic,PSU-500W,41,352,331,,0,,0,115,0
2025-11-28T10:10:00,server-01,PSU1,psu,Generic,PSU-500W,42,355,333,,0,,0,110,0
2025-11-28T10:00:00,server-01,FAN3,fan,Generic,FAN-80mm,38,,,4500,,,0,200,0
2025-11-28T10:05:00,server-01,FAN3,fan,Generic,FAN-80mm,39,,,4520,,,0,195,0
2025-11-28T10:10:00,server-01,FAN3,fan,Generic,FAN-80mm,40,,,4550,,,0,190,0
2025-11-28T10:00:00,server-01,SSD0,ssd,Generic,NVMe-1TB,50,,,,80,,0,90,0
2025-11-28T10:05:00,server-01,SSD0,ssd,Generic,NVMe-1TB,51,,,,81,,0,85,0
2025-11-28T10:10:00,server-01,SSD0,ssd,Generic,NVMe-1TB,52,,,,82,,0,80,0
2025-11-28T10:00:00,server-02,PSU1,psu,Generic,PSU-500W,60,420,380,,5,,0,30,1
